point,encoder,dataset,kind,C,n_test,imbalance,method,acc,f1,ece,aurc,param
defect_codebert,codebert,defect,fine_tuned,4,6764,3.66,base,0.8182,0.7787,0.0818,0.0813,
defect_codebert,codebert,defect,fine_tuned,4,6764,3.66,temp,0.8182,0.7787,0.023,0.0809,T=1.419
defect_codebert,codebert,defect,fine_tuned,4,6764,3.66,logit_adj,0.821,0.7835,0.0691,0.0835,tau=0.5
defect_codebert,codebert,defect,fine_tuned,4,6764,3.66,knn,0.8421,0.8141,0.0587,0.0689,lambda=0.4
defect_codebert,codebert,defect,fine_tuned,4,6764,3.66,gate,0.8421,0.8141,0.0587,0.0689,"c=1.0,lambda=0.4"
defect_codebert,codebert,defect,fine_tuned,4,6764,3.66,temp_gate,0.842,0.8133,0.0225,0.0773,"T=1.42,c=0.9,lambda=0.4"
defect_graphcodebert,graphcodebert,defect,fine_tuned,4,6764,3.66,base,0.8059,0.7614,0.0685,0.0877,
defect_graphcodebert,graphcodebert,defect,fine_tuned,4,6764,3.66,temp,0.8059,0.7614,0.0158,0.0875,T=1.331
defect_graphcodebert,graphcodebert,defect,fine_tuned,4,6764,3.66,logit_adj,0.8127,0.7806,0.0262,0.097,tau=1.25
defect_graphcodebert,graphcodebert,defect,fine_tuned,4,6764,3.66,knn,0.8063,0.7619,0.0395,0.0935,lambda=0.9
defect_graphcodebert,graphcodebert,defect,fine_tuned,4,6764,3.66,gate,0.8054,0.7605,0.0751,0.103,"c=0.5,lambda=0.0"
defect_graphcodebert,graphcodebert,defect,fine_tuned,4,6764,3.66,temp_gate,0.8041,0.7585,0.0176,0.0876,"T=1.33,c=0.5,lambda=0.8"
vuln_codebert,codebert,vuln,fine_tuned,2,2732,1.18,base,0.6124,0.6116,0.1968,0.2527,
vuln_codebert,codebert,vuln,fine_tuned,2,2732,1.18,temp,0.6124,0.6116,0.0553,0.2527,T=3.186
vuln_codebert,codebert,vuln,fine_tuned,2,2732,1.18,logit_adj,0.6124,0.6116,0.1968,0.2527,tau=0.0
vuln_codebert,codebert,vuln,fine_tuned,2,2732,1.18,knn,0.6124,0.6116,0.1968,0.2527,lambda=1.0
vuln_codebert,codebert,vuln,fine_tuned,2,2732,1.18,gate,0.6124,0.6116,0.1968,0.2527,"c=0.5,lambda=0.0"
vuln_codebert,codebert,vuln,fine_tuned,2,2732,1.18,temp_gate,0.6124,0.6116,0.0553,0.2527,"T=3.19,c=0.5,lambda=0.0"
vuln_graphcodebert,graphcodebert,vuln,fine_tuned,2,2732,1.18,base,0.6091,0.6034,0.2284,0.258,
vuln_graphcodebert,graphcodebert,vuln,fine_tuned,2,2732,1.18,temp,0.6091,0.6034,0.0614,0.258,T=3.749
vuln_graphcodebert,graphcodebert,vuln,fine_tuned,2,2732,1.18,logit_adj,0.6091,0.6034,0.2284,0.258,tau=0.0
