enc,src,tgt,T,n,ece_base,ece_temp,ece_knn,acc_temp,acc_knn,acc_cost,win_ece,ci,sig
codebert,devign,reveal,2.47,2000,0.1188,0.1493,0.0369,0.815,0.623,0.192,0.1124,"[+0.0838,+0.1335]",True
codebert,devign,primevul,2.47,2000,0.2588,0.2374,0.2586,0.367,0.4075,-0.0405,-0.0212,"[-0.0502,+0.0084]",False
codebert,devign,diversevul,2.47,2000,0.0169,0.0218,0.0798,0.6255,0.585,0.0405,-0.058,"[-0.0779,-0.0228]",False
codebert,reveal,devign,1.98,2000,0.3359,0.3371,0.3069,0.5385,0.541,-0.0025,0.0302,"[+0.0201,+0.0428]",True
codebert,reveal,primevul,1.98,2000,0.8856,0.8867,0.8267,0.0285,0.0605,-0.032,0.06,"[+0.0484,+0.0706]",True
codebert,reveal,diversevul,1.98,2000,0.0294,0.0291,0.0692,0.9395,0.921,0.0185,-0.0401,"[-0.0499,-0.0265]",False
codebert,primevul,devign,2.01,2000,0.4939,0.4935,0.4961,0.4595,0.46,-0.0005,-0.0026,"[-0.0063,+0.0012]",False
codebert,primevul,reveal,2.01,2000,0.8773,0.8771,0.8654,0.101,0.1025,-0.0015,0.0117,"[+0.0088,+0.0149]",True
codebert,primevul,diversevul,2.01,2000,0.9115,0.9112,0.902,0.0585,0.0585,0.0,0.0092,"[+0.0058,+0.0123]",True
codebert,diversevul,devign,2.1,2000,0.3936,0.3869,0.4018,0.5405,0.54,0.0005,-0.0149,"[-0.0219,-0.0110]",False
codebert,diversevul,reveal,2.1,2000,0.0669,0.063,0.0884,0.899,0.8995,-0.0005,-0.0254,"[-0.0377,-0.0099]",False
codebert,diversevul,primevul,2.1,2000,0.9203,0.9146,0.9193,0.028,0.03,-0.002,-0.0047,"[-0.0100,+0.0004]",False
graphcodebert,devign,reveal,2.94,2000,0.0527,0.1034,0.0924,0.8945,0.757,0.1375,0.0109,"[-0.0068,+0.0302]",False
graphcodebert,devign,primevul,2.94,2000,0.2178,0.1751,0.2593,0.434,0.3935,0.0405,-0.0842,"[-0.1155,-0.0594]",False
graphcodebert,devign,diversevul,2.94,2000,0.0498,0.0191,0.0777,0.5985,0.576,0.0225,-0.0586,"[-0.0759,-0.0262]",False
graphcodebert,reveal,devign,2.05,2000,0.3111,0.3068,0.3631,0.54,0.5405,-0.0005,-0.0563,"[-0.0646,-0.0460]",False
graphcodebert,reveal,primevul,2.05,2000,0.8599,0.8563,0.872,0.0365,0.046,-0.0095,-0.0157,"[-0.0264,-0.0053]",False
graphcodebert,reveal,diversevul,2.05,2000,0.0438,0.0461,0.075,0.932,0.93,0.002,-0.0288,"[-0.0415,-0.0117]",False
graphcodebert,primevul,devign,2.03,2000,0.4938,0.4924,0.4775,0.4595,0.459,0.0005,0.0148,"[+0.0105,+0.0200]",True
graphcodebert,primevul,reveal,2.03,2000,0.8659,0.8648,0.8639,0.102,0.1015,0.0005,0.0009,"[-0.0023,+0.0046]",False
graphcodebert,primevul,diversevul,2.03,2000,0.9112,0.9101,0.8981,0.058,0.0585,-0.0005,0.0121,"[+0.0085,+0.0155]",True
graphcodebert,diversevul,devign,2.09,2000,0.3836,0.3776,0.3892,0.5405,0.5405,0.0,-0.0116,"[-0.0173,-0.0063]",False
graphcodebert,diversevul,reveal,2.09,2000,0.0468,0.0434,0.0796,0.8955,0.8985,-0.003,-0.0362,"[-0.0504,-0.0217]",False
graphcodebert,diversevul,primevul,2.09,2000,0.9201,0.915,0.9065,0.0275,0.029,-0.0015,0.0085,"[+0.0037,+0.0141]",True
unixcoder,devign,reveal,3.48,2000,0.059,0.0363,0.1456,0.6375,0.523,0.1145,-0.1093,"[-0.1349,-0.0773]",False
unixcoder,devign,primevul,3.48,2000,0.2174,0.1541,0.2407,0.451,0.4175,0.0335,-0.0866,"[-0.1148,-0.0581]",False
unixcoder,devign,diversevul,3.48,2000,0.1048,0.0555,0.0961,0.563,0.57,-0.007,-0.0406,"[-0.0681,-0.0122]",False
unixcoder,reveal,devign,2.56,2000,0.361,0.3301,0.3283,0.537,0.5445,-0.0075,0.0019,"[-0.0117,+0.0152]",False
unixcoder,reveal,primevul,2.56,2000,0.8735,0.8462,0.8748,0.054,0.0365,0.0175,-0.0286,"[-0.0406,-0.0159]",False
unixcoder,reveal,diversevul,2.56,2000,0.0334,0.0284,0.071,0.906,0.934,-0.028,-0.0426,"[-0.0544,-0.0250]",False
unixcoder,primevul,devign,3.0,2000,0.5004,0.4699,0.4893,0.461,0.4585,0.0025,-0.0195,"[-0.0277,-0.0112]",False
unixcoder,primevul,reveal,3.0,2000,0.8578,0.8322,0.8366,0.1115,0.102,0.0095,-0.0043,"[-0.0130,+0.0049]",False
unixcoder,primevul,diversevul,3.0,2000,0.8963,0.8728,0.8988,0.0725,0.0595,0.013,-0.026,"[-0.0341,-0.0179]",False
unixcoder,diversevul,devign,2.56,2000,0.383,0.3516,0.3948,0.5415,0.5395,0.002,-0.0431,"[-0.0508,-0.0339]",False
unixcoder,diversevul,reveal,2.56,2000,0.0532,0.0477,0.0654,0.892,0.8985,-0.0065,-0.0177,"[-0.0312,-0.0021]",False
unixcoder,diversevul,primevul,2.56,2000,0.9047,0.8798,0.9091,0.041,0.029,0.012,-0.0294,"[-0.0384,-0.0208]",False
codet5p,devign,reveal,2.66,2000,0.0934,0.1163,0.0976,0.6915,0.55,0.1415,0.0188,"[-0.0149,+0.0476]",False
codet5p,devign,primevul,2.66,2000,0.2847,0.2622,0.2251,0.3105,0.438,-0.1275,0.0371,"[+0.0087,+0.0642]",True
codet5p,devign,diversevul,2.66,2000,0.1184,0.141,0.061,0.7145,0.593,0.1215,0.08,"[+0.0513,+0.1041]",True
codet5p,reveal,devign,1.91,2000,0.3489,0.3569,0.3416,0.5405,0.541,-0.0005,0.0153,"[+0.0050,+0.0241]",True
codet5p,reveal,primevul,1.91,2000,0.8879,0.895,0.8824,0.0275,0.045,-0.0175,0.0127,"[+0.0048,+0.0210]",True
codet5p,reveal,diversevul,1.91,2000,0.0294,0.0223,0.0706,0.941,0.9335,0.0075,-0.0483,"[-0.0597,-0.0338]",False
codet5p,primevul,devign,1.94,2000,0.5061,0.5092,0.5029,0.4595,0.46,-0.0005,0.0064,"[+0.0022,+0.0098]",True
codet5p,primevul,reveal,1.94,2000,0.8694,0.8719,0.859,0.101,0.101,0.0,0.0129,"[+0.0100,+0.0162]",True
codet5p,primevul,diversevul,1.94,2000,0.9115,0.914,0.9061,0.0585,0.059,-0.0005,0.0079,"[+0.0047,+0.0111]",True
codet5p,diversevul,devign,2.0,2000,0.3917,0.3919,0.4078,0.5405,0.5415,-0.001,-0.0159,"[-0.0194,-0.0119]",False
codet5p,diversevul,reveal,2.0,2000,0.0415,0.0417,0.0727,0.899,0.8985,0.0005,-0.031,"[-0.0468,-0.0144]",False
codet5p,diversevul,primevul,2.0,2000,0.9168,0.9169,0.922,0.027,0.028,-0.001,-0.0051,"[-0.0094,-0.0010]",False
